Atom_fukui;q(N);q(N+1);q(N-1);f-;f+;f0;CDD;AtomNum;Atomic Number;Atomic Type;X;Y;Z
1(C);0.0076;0.0012;0.0134;0.0059;0.0064;0.0061;0.0005;1;6;0;-7.012066;-0.027571;0.955428
2(O);-0.147;-0.1572;-0.1354;0.0116;0.0102;0.0109;-0.0014;2;8;0;-5.72528;0.331076;1.398729
3(C);0.0656;0.0475;0.083;0.0174;0.0181;0.0178;0.0008;3;6;0;-4.659312;-0.0549;0.639152
4(C);-0.0751;-0.1052;-0.0477;0.0275;0.0301;0.0288;0.0026;4;6;0;-4.785928;-0.785392;-0.558048
5(C);-0.0598;-0.0804;-0.0458;0.014;0.0206;0.0173;0.0066;5;6;0;-3.663106;-1.160526;-1.290847
6(C);0.0097;0.0045;0.019;0.0093;0.0052;0.0073;-0.0041;6;6;0;-2.423162;-0.774738;-0.804725
7(N);-0.0754;-0.0868;-0.0671;0.0083;0.0114;0.0099;0.0031;7;7;0;-1.120914;-0.978115;-1.243719
8(C);0.1368;0.1358;0.1223;-0.0145;0.001;-0.0067;0.0155;8;6;0;-0.318891;-0.332355;-0.337688
9(N);-0.2071;-0.2292;-0.1875;0.0196;0.0221;0.0209;0.0025;9;7;0;-0.945579;0.211622;0.659387
10(C);0.017;0.0146;0.0208;0.0039;0.0023;0.0031;-0.0015;10;6;0;-2.285349;-0.036062;0.390792
11(C);-0.0618;-0.0819;-0.0494;0.0123;0.0202;0.0162;0.0078;11;6;0;-3.410687;0.323193;1.126075
12(N);-0.0224;-0.0669;0.0453;0.0677;0.0446;0.0561;-0.0232;12;7;0;1.071792;-0.314272;-0.534463
13(C);0.0065;-0.0882;0.0936;0.0871;0.0947;0.0909;0.0076;13;6;0;1.790297;0.884568;-0.328268
14(C);0.1822;0.1285;0.2222;0.04;0.0537;0.0469;0.0136;14;6;0;1.155127;2.140605;-0.704437
15(O);-0.1987;-0.231;-0.1691;0.0297;0.0322;0.0309;0.0026;15;8;0;0.08614;1.970617;-1.529254
16(O);-0.2886;-0.3761;-0.2109;0.0778;0.0874;0.0826;0.0096;16;8;0;1.523905;3.25136;-0.37476
17(C);0.0022;-0.0208;0.0293;0.0271;0.023;0.025;-0.0041;17;6;0;3.14068;0.811867;0.066942
18(C);-0.0845;-0.0956;-0.0717;0.0127;0.0111;0.0119;-0.0016;18;6;0;3.951928;2.052683;0.33167
19(C);0.052;-0.0327;0.1354;0.0834;0.0847;0.084;0.0013;19;6;0;3.744282;-0.433075;0.148393
20(O);-0.1534;-0.1802;-0.12;0.0334;0.0268;0.0301;-0.0065;20;8;0;5.059754;-0.565469;0.522115
21(C);0.0072;-0.01;0.0238;0.0166;0.0171;0.0169;0.0005;21;6;0;5.237059;-0.610673;1.93142
22(C);-0.0227;-0.0555;0.0207;0.0434;0.0327;0.0381;-0.0107;22;6;0;3.04609;-1.634628;-0.217705
23(C);-0.0791;-0.0928;-0.0636;0.0155;0.0137;0.0146;-0.0018;23;6;0;3.775352;-2.946825;-0.237595
24(C);0.0006;-0.0455;0.0647;0.0641;0.0461;0.0551;-0.018;24;6;0;1.73484;-1.536971;-0.53308
25(H);0.0479;0.037;0.0581;0.0102;0.0109;0.0105;0.0007;25;1;0;-7.70819;0.369404;1.694438
26(H);0.0339;0.0281;0.0395;0.0055;0.0059;0.0057;0.0003;26;1;0;-7.236921;0.410496;-0.025249
27(H);0.034;0.0277;0.0398;0.0058;0.0063;0.0061;0.0004;27;1;0;-7.128669;-1.117134;0.896898
28(H);0.0389;0.0221;0.0541;0.0152;0.0168;0.016;0.0016;28;1;0;-5.764386;-1.069489;-0.924846
29(H);0.0464;0.032;0.0586;0.0122;0.0145;0.0133;0.0023;29;1;0;-3.76924;-1.729724;-2.208497
30(H);0.1521;0.1431;0.159;0.007;0.009;0.008;0.002;30;1;0;-0.832483;-1.212461;-2.182414
31(H);0.0562;0.0438;0.0664;0.0101;0.0125;0.0113;0.0024;31;1;0;-3.33324;0.883725;2.050258
32(H);0.1877;0.1609;0.2118;0.0241;0.0267;0.0254;0.0026;32;1;0;-0.283569;2.860875;-1.653108
33(H);0.0426;0.0267;0.0608;0.0182;0.016;0.0171;-0.0022;33;1;0;3.568445;2.589593;1.202854
34(H);0.03;0.0115;0.0482;0.0181;0.0186;0.0183;0.0005;34;1;0;4.99621;1.781427;0.48874
35(H);0.0407;0.0265;0.0572;0.0165;0.0142;0.0153;-0.0024;35;1;0;3.879593;2.746199;-0.508187
36(H);0.0456;0.0204;0.0697;0.0241;0.0252;0.0246;0.0011;36;1;0;6.304192;-0.751338;2.109844
37(H);0.0349;0.0241;0.0463;0.0114;0.0108;0.0111;-0.0006;37;1;0;4.90457;0.323934;2.398583
38(H);0.0323;0.0194;0.0447;0.0124;0.0129;0.0127;0.0005;38;1;0;4.676365;-1.444746;2.371361
39(H);0.0373;0.0191;0.0577;0.0204;0.0182;0.0193;-0.0022;39;1;0;4.181048;-3.187142;0.750373
40(H);0.0367;0.0191;0.0556;0.0189;0.0176;0.0182;-0.0013;40;1;0;3.111329;-3.759037;-0.542996
41(H);0.0422;0.0231;0.064;0.0218;0.0191;0.0204;-0.0027;41;1;0;4.622867;-2.906302;-0.92796
42(H);0.0488;0.0192;0.0832;0.0343;0.0296;0.032;-0.0047;42;1;0;1.11591;-2.398789;-0.758033
