Atom_fukui;q(N);q(N+1);q(N-1);f-;f+;f0;CDD;AtomNum;Atomic Number;Atomic Type;X;Y;Z
1 (C);0.0078;0.0009;0.0194;0.0116;0.0069;0.0093;-0.0047;1;6;0;7.16637;-0.600275;0.140973
2 (O);-0.1475;-0.1596;-0.1068;0.0406;0.0122;0.0264;-0.0285;2;8;0;5.936869;-1.285914;0.119858
3 (C);0.0663;0.0445;0.1074;0.0411;0.0219;0.0315;-0.0192;3;6;0;4.792524;-0.544088;0.071359
4 (C);-0.0721;-0.1044;-0.0199;0.0521;0.0323;0.0422;-0.0199;4;6;0;4.787362;0.867924;0.043206
5 (C);-0.0525;-0.0756;-0.0285;0.024;0.0232;0.0236;-0.0008;5;6;0;3.596753;1.580514;-0.006602
6 (C);0.0131;0.0068;0.0604;0.0472;0.0063;0.0268;-0.041;6;6;0;2.415159;0.848067;-0.028098
7 (N);-0.0661;-0.0849;-0.0498;0.0163;0.0188;0.0176;0.0025;7;7;0;1.083346;1.210114;-0.076375
8 (C);0.1413;0.1301;0.1536;0.0123;0.0112;0.0117;-0.0011;8;6;0;0.374582;0.053566;-0.06753
9 (N);-0.2045;-0.2391;-0.1766;0.028;0.0346;0.0313;0.0066;9;7;0;1.111489;-1.02784;-0.024305
10 (C);0.0148;0.0087;0.042;0.0272;0.0061;0.0166;-0.0211;10;6;0;2.409419;-0.560978;0.001439
11 (C);-0.0651;-0.0884;-0.0448;0.0203;0.0233;0.0218;0.003;11;6;0;3.608785;-1.271259;0.051056
12 (N);0.0159;-0.0207;0.0445;0.0286;0.0367;0.0326;0.0081;12;7;0;-1.053875;-0.027643;-0.120574
13 (C);0.0229;-0.0403;0.0453;0.0224;0.0632;0.0428;0.0407;13;6;0;-1.515346;-1.329114;-0.201208
14 (C);-0.0219;-0.0473;0.0236;0.0454;0.0255;0.0355;-0.02;14;6;0;-2.832186;-1.642175;-0.230583
15 (C);-0.0763;-0.0878;-0.063;0.0133;0.0115;0.0124;-0.0018;15;6;0;-3.315408;-3.060517;-0.331363
16 (C);0.0865;0.0018;0.1059;0.0195;0.0847;0.0521;0.0652;16;6;0;-3.752171;-0.558821;-0.190018
17 (O);-0.1438;-0.1719;-0.1301;0.0137;0.0281;0.0209;0.0145;17;8;0;-5.081922;-0.874159;-0.231517
18 (C);0.0131;-0.0047;0.0204;0.0073;0.0177;0.0125;0.0105;18;6;0;-5.695545;-0.900942;1.053104
19 (C);-0.0184;-0.0515;0.0091;0.0275;0.033;0.0303;0.0055;19;6;0;-3.331892;0.74679;-0.14645
20 (C);-0.0896;-0.1023;-0.0788;0.0107;0.0128;0.0118;0.002;20;6;0;-4.329896;1.867453;-0.166418
21 (C);0.0551;-0.0087;0.0606;0.0056;0.0638;0.0347;0.0582;21;6;0;-1.925292;1.062163;-0.090978
22 (S);-0.2536;-0.4178;-0.0142;0.2394;0.1643;0.2018;-0.0751;22;16;0;-1.454163;2.681987;0.016159
23 (H);0.0345;0.028;0.0466;0.0122;0.0065;0.0093;-0.0057;23;1;0;7.253519;0.043697;1.025049
24 (H);0.0477;0.0358;0.0651;0.0174;0.0119;0.0146;-0.0055;24;1;0;7.939485;-1.367903;0.178201
25 (H);0.0345;0.028;0.0467;0.0122;0.0065;0.0093;-0.0057;25;1;0;7.304008;0.008056;-0.76171
26 (H);0.04;0.0222;0.0641;0.0241;0.0178;0.0209;-0.0063;26;1;0;5.720744;1.416652;0.060218
27 (H);0.0514;0.0372;0.0705;0.0191;0.0142;0.0167;-0.0049;27;1;0;3.599374;2.66491;-0.02834
28 (H);0.1029;0.0908;0.1156;0.0127;0.0121;0.0124;-0.0006;28;1;0;0.645627;2.130209;-0.075244
29 (H);0.0538;0.0389;0.0734;0.0196;0.0149;0.0173;-0.0047;29;1;0;3.634447;-2.3543;0.073801
30 (H);0.0543;0.0262;0.0684;0.0141;0.0282;0.0211;0.0141;30;1;0;-0.730408;-2.071857;-0.229489
31 (H);0.0437;0.0278;0.0553;0.0116;0.0159;0.0138;0.0044;31;1;0;-2.472078;-3.751054;-0.39775
32 (H);0.038;0.0218;0.0562;0.0182;0.0162;0.0172;-0.0019;32;1;0;-3.917249;-3.338689;0.539729
33 (H);0.044;0.0271;0.0624;0.0184;0.0169;0.0177;-0.0015;33;1;0;-3.947558;-3.189867;-1.21407
34 (H);0.0359;0.0229;0.0416;0.0057;0.013;0.0093;0.0073;34;1;0;-5.202962;-1.631357;1.705754
35 (H);0.038;0.0272;0.0425;0.0045;0.0108;0.0076;0.0062;35;1;0;-5.656399;0.086429;1.526506
36 (H);0.0509;0.0265;0.0653;0.0144;0.0245;0.0194;0.0101;36;1;0;-6.733528;-1.192794;0.893321
37 (H);0.0363;0.0183;0.0495;0.0132;0.018;0.0156;0.0048;37;1;0;-4.310958;2.425008;0.775614
38 (H);0.0373;0.0202;0.0489;0.0116;0.0171;0.0143;0.0055;38;1;0;-4.072854;2.582142;-0.952459
39 (H);0.0314;0.0137;0.0484;0.0169;0.0177;0.0173;0.0008;39;1;0;-5.332211;1.477249;-0.346977
